WeightNotOver_Lbs,1,2,3,4,5,6,7,8
0.5,48.4,53.3,62.02,101.27,67.83,71.71,53.3,83.33
1,56.52,57.67,69.46,113.86,77.91,80.78,63.15,92.77
2,59.6,61.43,71.7,121.08,79.87,83.45,69.31,99.79
3,64.73,68.26,76.89,133.16,85.21,89.56,75.64,110.76
4,68.37,72.39,83.56,145.23,92.07,95.66,82.99,121.73
5,70.32,77.88,90.37,157.3,97.33,101.77,90.66,132.7
6,71.78,83.01,94.33,165.42,102.65,105.2,95.68,140.03
7,75.27,88.16,98.48,177.05,107.46,110.89,100.82,150.49
8,78.99,93.64,102.59,188.68,113.1,116.6,105.76,162.33
9,82.71,96.93,107.16,200.3,119.76,122.3,109.35,173.66
10,86.43,100.39,111.77,211.93,124.38,128,113.52,185.16
11,90.17,104.69,114.5,223.54,130.03,133.25,117,196.46
12,93.89,109.33,117.24,235.17,134.67,138.5,120.91,207.41
13,97.61,110.78,122.33,246.8,138.82,143.75,124.81,218.44
14,101.34,113.9,126.62,258.42,143.78,150.4,131.61,228.44
15,105.06,117.05,130.35,270.05,147.57,156.53,135.99,239.1
16,108.79,120.84,134.27,281.66,153.22,161.89,140.32,248.94
17,112.52,124.48,138.29,293.29,157.26,167.23,144.83,258.07
18,116.24,127.43,141.97,304.92,160.87,171.94,149.2,266.37
19,119.96,129.5,145.9,316.54,164.87,177.32,154.4,274.7
20,123.69,131.4,149.89,328.16,169.25,182.04,161.99,283.18
21,127.42,132.96,154.61,337.54,173.8,186.86,165.31,292.51
22,131.14,133.24,157.93,347.62,179.63,191.58,167.64,301.48
23,134.86,135.35,161.61,356.31,181.77,196.82,169.65,309.47
24,138.59,137.56,164.42,365.68,183.73,201.51,170.71,317.62
25,142.31,139.77,166.77,375.06,185.69,206.76,171.77,325.23
26,146.04,143.24,172.6,384.44,193.59,212.02,184.34,333.41
27,149.77,148.03,175.52,393.82,197.01,217.26,187.87,341.55
28,153.49,151,179.28,403.21,201.02,222.51,189.91,349.69
29,157.21,152.95,182.13,412.58,205.19,227.77,191.99,356.49
30,160.94,154.58,186.03,421.96,209.02,233.02,196.43,363.63
31,164.67,156.02,189.28,431.34,212.81,238.27,200.88,370.27
32,168.39,156.8,193.95,441.36,216.99,243.51,208.62,377.25
33,172.11,158.42,197.31,450.53,221.18,248.77,212.63,384.39
34,175.84,159.36,200.79,460.01,225.17,254.02,215.96,391.02
35,179.56,160.81,204.42,469.17,229.17,259.27,220.49,397.66
36,183.29,161.76,207.69,478.67,232.8,264.53,222.79,404.63
37,187.02,163.54,211.4,487.62,236.78,269.77,226.97,411.09
38,190.74,165.17,214.46,497.01,240.6,275.02,231,417.92
39,194.46,166.95,218.41,506.38,244.59,280.28,235.67,425.06
40,198.19,169.74,221.23,515.76,248.22,285.53,239.88,431.69
41,201.29,171.52,225.29,525.14,252.21,290.78,244.07,438.33
42,204.39,173.81,227.75,534.52,256.39,296.02,248.41,444.96
43,207.48,175.6,231.31,543.9,260.57,301.28,252.42,451.77
44,210.58,177.9,234.18,553.28,264.75,306.53,256.77,458.41
45,213.67,179.69,237.9,562.66,268.37,311.78,260.78,465.22
46,216.77,181.79,241.64,572.04,272.36,317.04,265.66,470.69
47,219.87,184.42,245.36,581.42,276.38,322.28,269.66,477.68
48,222.96,186.55,249.08,590.8,280.17,327.53,274.2,484.31
49,226.06,189.01,252.81,600.18,284.17,332.79,276.26,490.95
50,229.15,190.79,256.53,609.56,287.78,338.04,278.33,498.88
51,232.25,192.64,260.26,618.94,288.1,343.29,287.16,509.57
52,235.35,194.52,263.99,628.32,296.34,348.53,290.58,514.77
53,238.45,196.32,267.71,637.7,296.64,353.79,295.52,523.33
54,241.55,198.1,271.43,647.08,301.19,359.04,298.44,530.67
55,244.64,199.88,275.16,656.46,305.37,364.29,302.19,538.6
56,247.74,201.66,278.89,665.84,309.55,369.55,305.96,546.55
57,250.84,203.45,282.61,675.22,313.72,374.79,309.71,554.49
58,253.93,205.24,286.33,684.6,317.9,380.04,313.47,562.44
59,257.03,207.1,290.06,693.98,322.27,385.29,319.49,570.38
60,260.12,208.98,293.78,703.36,330.9,390.55,321.84,578.32
61,263.22,210.68,297.51,712.74,331.17,395.8,327.3,586.27
62,266.32,212.38,301.24,722.12,339.24,401.04,329.51,594.21
63,269.41,214.17,304.96,731.5,339.55,406.3,335.11,602.16
64,272.51,215.95,308.68,740.88,347.43,411.55,337.55,610.1
65,275.6,217.81,312.41,750.26,347.73,416.8,343.28,618.04
66,278.7,219.69,316.14,759.63,355.78,422.06,345.57,625.98
67,281.81,221.47,319.86,769.02,356.08,427.3,351.29,633.93
68,284.9,223.27,323.58,778.4,364.33,432.55,353.26,641.88
69,288,224.8,327.31,787.78,364.63,437.8,359.62,649.82
70,291.09,226.33,331.03,797.16,372.33,443.06,361.12,657.76
